,YEAR,PERIOD,SEND DATE,ENTITY CODE,ENTITY,LINE CODE,INTERVENTION LINE,SERVICE CODE,SERVICE NAME,DEPARTMENT,PROVINCE,DISTRICT,CENTER_CODE,NAME OF CARE CENTER,Total_number of cases
0,2012,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA DEPARTAMENTO,,,,,27
1,2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA DEPARTAMENTO,,,,,56
2,2014,ENE - DIC,10/01/2015,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA DEPARTAMENTO,,,,,41
3,2015,ENE - DIC,11/01/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA DEPARTAMENTO,,,,,31
4,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA PROVINCIA,CAÃETE,IMPERIAL,CEM013,IMPERIAL,3
5,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA METROPOLITANA,LIMA,CARABAYLLO,CEM014,CARABAYLLO,2
6,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA METROPOLITANA,LIMA,EL AGUSTINO,CEM032,EL AGUSTINO,2
7,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA METROPOLITANA,LIMA,ATE,CEM045,HUAYCAN,4
8,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA METROPOLITANA,LIMA,LIMA,CEM060,LIMA,2
9,2016,ENE - DIC,13/01/2017,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER005,REGISTRO DE FEMINICIDIO,LIMA METROPOLITANA,LIMA,LOS OLIVOS,CEM061,LOS OLIVOS,1
